tic,age,prad,Mp,per,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age_y,ref,teff,rstar,mstar,observed_fields,nobs,pl_period,pl_radius,delta,sigmaOptical,sigmaIR,npoints,ntransits,draw,T_retrieve_final,snr_v1,T_retrieve_v1,snr_v2,T_retrieve_v2
156353309,650.0,6.328179494586641,3.1494898049197086,13.15799987115486,3.3352081358977603e+18,86.7693865784746,8.04155759265575,8.46528,8.70024,9.62,0.041,9.105,0.003,8.269,0.024,8.006,0.038,8.005,0.027,9.03816,0.000634,9.30431,0.002298,8.66389,0.002393,7.947,0.025,7.987,0.02,7.968,0.022,8.396,0.369,Hyades,650.0,Jerabkova2021,6431.0,1.282,1.299,[12],1,13.15799987115486,6.328179494586641,0.0020390022558654896,0.003244196610130004,0.0002577362766397066,139.3674731794679,3.419972673707771,0.8799786783499681,1,173.26084097574645,1,,0
144615423,650.0,2.1264241510940987,1.736267103898964,6.830359718860486,3.3347909055944663e+18,84.6231698785562,8.76302776376073,7.88211,16.0714,,,,,14.127,0.033,13.564,0.027,13.222,0.036,17.5738,0.001598,19.6381,0.053578,16.1998,0.007489,13.113,0.025,12.887,0.028,12.267,,8.918,,Hyades,650.0,Jerabkova2021,2989.0,0.236061,0.205932,[12],1,,,,0.011947827220181936,0.013972905770916564,,,,0,,0,,0
156427652,650.0,1.1282913540395143,1.407459891990587,35.255410795906386,3.334933940888611e+18,87.0328274387842,7.39392808730163,10.0724,11.9338,14.735,0.042,13.318,0.092,10.746,0.026,10.072,0.023,9.919,0.026,12.7722,0.000432,13.6411,0.003009,11.8736,0.001559,9.846,0.023,9.862,0.021,9.774,0.059,8.617,,Hyades,650.0,Jerabkova2021,3998.0,0.642649,0.62,[12],1,,,,0.00348520063086626,0.001245095679538541,,,,0,,0,,0
200526701,650.0,2.4802361969724003,23.869749465144046,46.97281980365558,3.3405746116344e+18,83.1050414259145,11.2857108275609,7.22362,11.9902,14.375,0.033,13.065,0.08,10.981,0.021,10.366,0.023,10.223,0.019,12.7217,0.000303,13.4194,0.001904,11.9372,0.001179,10.16,0.023,10.221,0.019,10.056,0.064,8.866,,Hyades,650.0,Jerabkova2021,4306.86,0.744161,0.673,[12],1,,,,0.0035205816297905535,0.0012918502370895969,,,,0,,0,,0
200526701,650.0,2.4802361969724003,23.869749465144046,46.97281980365558,3.3405746116344e+18,83.1050414259145,11.2857108275609,7.22362,11.9902,14.375,0.033,13.065,0.08,10.981,0.021,10.366,0.023,10.223,0.019,12.7217,0.000303,13.4194,0.001904,11.9372,0.001179,10.16,0.023,10.221,0.019,10.056,0.064,8.866,,Hyades,650.0,Jerabkova2021,4306.86,0.744161,0.673,[12],1,,,,0.0035205816297905535,0.0012918502370895969,,,,0,,0,,0
264741205,650.0,2.727695239077336,6.92566227295698,9.362336275405776,3.2219175458504986e+18,82.3831101530067,0.916063313614107,10.5146,11.4325,14.074,0.053,12.575,0.08,10.32,0.024,9.681,0.022,9.545,0.024,12.2215,0.000403,13.0113,0.002378,11.3752,0.002971,9.472,0.023,9.534,0.019,9.404,0.037,8.695,,Hyades,650.0,Jerabkova2021,4072.84,0.746422,0.64,[3],1,,,,0.0034597685266146865,0.0009758193174448655,,,,0,,0,,0
72919538,650.0,0.9369874177229712,0.72982371659058,3.405109592109572,3.0239918506910607e+18,86.5169772933279,-3.52675284697085,9.51695,13.7641,18.265,0.162,16.602,0.206,12.071,0.024,11.464,0.025,11.188,0.025,15.095,0.000872,16.7425,0.005664,13.8512,0.002442,11.045,0.022,10.879,0.021,10.705,0.094,8.787,,Hyades,650.0,Jerabkova2021,3235.0,0.43136,0.42638,[2],1,,,,0.003918464465162545,0.0033100495213719354,,,,0,,0,,0
323347788,650.0,1.4951330811196937,4.167674136019236,7.025206867907931,3.2240154183330263e+18,84.4067574523952,2.4760585278089,10.6126,15.3181,,,,,13.375,0.027,12.783,0.022,12.432,0.023,16.8102,0.001193,18.8621,0.035106,15.4453,0.006939,12.285,0.023,12.083,0.023,11.535,0.188,8.859,,Hyades,650.0,Lodieu2019,2997.0,0.249941,0.220797,"[3, 10]",2,,,,0.007721777384319578,0.007746210408888365,,,,0,,0,,0
323347788,650.0,1.4951330811196937,4.167674136019236,7.025206867907931,3.2240154183330263e+18,84.4067574523952,2.4760585278089,10.6126,15.3181,,,,,13.375,0.027,12.783,0.022,12.432,0.023,16.8102,0.001193,18.8621,0.035106,15.4453,0.006939,12.285,0.023,12.083,0.023,11.535,0.188,8.859,,Hyades,650.0,Lodieu2019,2997.0,0.249941,0.220797,"[3, 10]",2,,,,0.007721777384319578,0.007746210408888365,,,,0,,0,,0
710920427,650.0,0.993698804015942,0.8942250457326144,4.282142874449228,3.1030693454346936e+18,97.8872864317604,-6.66397095333393,10.3103,19.4708,,,21.7224,0.3272,,,,,,,20.6728,0.017295,21.8574,0.381075,19.4361,0.033597,,,,,,,,,Hyades,650.0,Lodieu2019,4359.0,0.681289,0.68,[4],1,,,,0.09202138823593373,0.24991859863779803,,,,0,,0,,0
